卡牌ID,卡牌名（日文）,卡牌名（中文）,扩展标记,收藏编号,进化阶段/卡牌种类,规则,特殊分类,进化前,HP,属性,弱点,抵抗力,撤退费用,招式/特性名,费用,伤害,效果说明
1,基本【草】エネルギー,基本【草】能量,无,GRA,基本能量卡,无,无,无,无,草,无,无,无,无,无,无,无
2,基本【炎】エネルギー,基本【火】能量,无,FIR,基本能量卡,无,无,无,无,火,无,无,无,无,无,无,无
3,基本【水】エネルギー,基本【水】能量,无,WAT,基本能量卡,无,无,无,无,水,无,无,无,无,无,无,无
4,基本【雷】エネルギー,基本【雷】能量,无,LIG,基本能量卡,无,无,无,无,雷,无,无,无,无,无,无,无
5,基本【超】エネルギー,基本【超】能量,无,PSY,基本能量卡,无,无,无,无,超,无,无,无,无,无,无,无
6,基本【闘】エネルギー,基本【斗】能量,无,FIG,基本能量卡,无,无,无,无,斗,无,无,无,无,无,无,无
7,基本【悪】エネルギー,基本【恶】能量,无,DAR,基本能量卡,无,无,无,无,恶,无,无,无,无,无,无,无
8,基本【鋼】エネルギー,基本【钢】能量,无,MET,基本能量卡,无,无,无,无,钢,无,无,无,无,无,无,无
9,ブーメランエネルギー,回旋镖能量,MC,738/742,特殊能量卡,无,无,无,无,无,无,无,无,无,无,无,"这张卡，宝可梦附有期间，【无】能量1个和生效。
这卡宝可梦使用招式的效果在，这卡弃牌区的话，招式的伤害和效果的之后，也和的宝可梦重新附上。"
10,ネオアッパーエネルギー,新上级能量,SV5K,071/071,特殊能量卡,ACE SPEC,无,无,无,虹虹,无,无,无,无,无,无,"这张卡，宝可梦附有期间，【无】能量1个和生效。
【2阶进化】宝可梦附有的话，全部的属性的能量2个和生效。"
11,ミストエネルギー,薄雾能量,SVN,043/045,特殊能量卡,无,无,无,无,无,无,无,无,无,无,无,"这张卡，宝可梦附有期间，【无】能量1个和生效。
这卡宝可梦，对手的宝可梦使用招式的效果不受。（已经受效果，不会消失。）"
12,レガシーエネルギー,传承能量,MC,741/742,特殊能量卡,ACE SPEC,无,无,无,虹,无,无,无,无,无,无,"这张卡，宝可梦附有期间，全部的属性的能量1个和生效。
这卡宝可梦，对手的宝可梦从招式的伤害受【昏厥】时，被拿取奖赏卡1张减少。对战其中，自己的「传承能量」的这个效果，1次不生效。"
13,リッチエネルギー,富饶能量,MC,740/742,特殊能量卡,ACE SPEC,无,无,无,无,无,无,无,无,无,无,"这张卡，宝可梦附有期间，【无】能量1个和生效。
从手牌将这张卡宝可梦附上的时，自己的牌库4张抽牌。"
14,スパイクエネルギー,尖刺能量,MC,737/742,特殊能量卡,无,无,无,无,无,无,无,无,无,无,无,"这张卡，宝可梦附有期间，【无】能量1个和生效。
这卡宝可梦，战斗场在对手的宝可梦从招式的伤害受到时，招式使用过宝可梦伤害指示物2个放置。"
15,ロケット団エネルギー,火箭队能量,MC,742/742,特殊能量卡,无,无,无,无,【火箭队】【火箭队】,无,无,无,无,无,无,"这张卡「火箭队的宝可梦」只能附上，「火箭队的宝可梦」以外附有的话，弃牌区。
这张卡，宝可梦附有期间，【超】【恶】的2的属性的能量2个和生效。"
16,プリズムエネルギー,棱镜能量,MC,739/742,特殊能量卡,无,无,无,无,虹,无,无,无,无,无,无,"这张卡，宝可梦附有期间，【无】能量1个和生效。
【基础】宝可梦附有的话，全部的属性的能量1个和生效。"
17,イグニッションエネルギー,点火能量,MC,736/742,特殊能量卡,无,无,无,无,无无无,无,无,无,无,无,无,"宝可梦附有这张卡，自己的番的结束时弃牌区。
这张卡，宝可梦附有期间，【无】能量1个和生效。
進化宝可梦附有的话，【无】能量3个和生效。"
18,グロウ【草】エネルギー,成长【草】能量,M3,078/080,特殊能量卡,无,无,无,无,草,无,无,无,无,无,无,"这张卡，宝可梦附有期间，【草】能量1个和生效。
这卡【草】宝可梦，最大HP「+20」。"
